scheme_name,url,organization,category,description,eligibility,benefits,last_updated
Startups,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,Startup India,Central Government Scheme,"Explore Central Government Schemes for Startups in India. Find financial, infrastructural, and regulatory support for your startup in technology, manufacturing, agriculture, healthcare, and more. Leverage these schemes to propel your startup towards success and contribute to the vibrant startup ecosystem in India.",N/A,N/A,N/A
Bharat Startup Grand Challenge,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,Startup India,Central Government Scheme,"The Bharat Startup Grand Challenge was launched on January 16, 2025, to help connect startups with real-world problems faced by companies and society. It gives startups a chance to solve practical challenges and create useful solutions that can make a difference.",N/A,N/A,N/A
About Startup India,https://www.startupindia.gov.in/content/sih/en/about-startup-india-initiative.html,Startup India,Central Government Scheme,"Startup India, launched on January 16, 2016, boosts startup culture and innovation. Managed by DPIIT, it supports entrepreneurs through programs like States Startup Ranking and Seed Fund Scheme",N/A,"Exemptions on Income Tax and Capital Gains Tax for eligible startups; Seed Fund, Fund of Funds, investor connect portal, and a credit guarantee scheme to infuse more capital into the startup ecosystem.",N/A
Self Certification,https://www.startupindia.gov.in/content/sih/en/startupgov/self-certification.html,Startup India,Central Government Scheme,Know about self-certification benefits available to DPIIT recognized startups. The startups can self-certify on with 9 Labour Laws and 3 Environment Laws.,N/A,N/A,N/A
Income Tax Exemption Notifications,https://www.startupindia.gov.in/content/sih/en/startupgov/imb.html,Startup India,Central Government Scheme,Our Toll Free Number :1800 115 565(10:00 AM to 05:30 PM) Cases Approved Through the Self-Regulated Evaluation Process,N/A,"The Board consists of the following members: Joint Secretary, Department for Promotion of Industry and Internal Trade, ConvenerRepresentative of the Department of Biotechnology, MemberRepresentative of the Department of Science & Technology, Member",N/A
Contact Us,https://www.startupindia.gov.in/content/sih/en/state-startup-policies.html,Startup India,Central Government Scheme,"Find the incentives offered by your State or UT to startups - funding, incubation, mentorship, IPR benefits, market access, etc.",N/A,N/A,N/A
Main navigation,https://www.startupindia.gov.in/sih/partnership-with-us,Startup India,Central Government Scheme,Stay agile and ahead of the market! Partner with Startup India to kickstart your innovation journey and collaborate with Indian startups. Partner with us now!,N/A,N/A,N/A
STARTUP RELATED REGULATIONS AND NOTIFICATIONS,https://www.startupindia.gov.in/content/sih/en/startupgov/regulatory_updates.html,Startup India,Central Government Scheme,Stay ahead of the game with our curated list of reports,N/A,N/A,N/A
BHASKARCommunity,https://www.startupindia.gov.in/bhaskar,Startup India,Central Government Scheme,"With the aim to foster collaboration and create impact, BHASKAR connects entrepreneurs, investors, mentors, policymakers, and other startup ecosystem players on a single platform.",N/A,N/A,N/A
DPIIT Startup Recognition& Tax Exemption,https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html,Startup India,Central Government Scheme,"Know about and apply for DPIIT Startup Recognition, Startup Income Tax Exemption and Angel Tax Exemption.",N/A,N/A,N/A
Join MY Bharat,https://www.startupindia.gov.in/content/sih/en/startupindia-mybharat.html,Startup India,Central Government Scheme,"Our Toll Free Number :1800 115 565(10:00 AM to 05:30 PM) India’s youth are to play a critical role in defining the future of the nation - especially as the country embarks on a monumental journey towards building Amrit Bharat by 2047. To be able to support the youth of the country, it is imperative to create opportunities and avenues to improve their capabilities and connect them with community activities.",N/A,N/A,N/A
Startup India,https://www.startupindia.gov.in/,Startup India,Central Government Scheme,"Startup India is an e-platform for startups and entrepreneurs; with various stakeholders such as investors, incubators, startups in its network to collaborate.",A startup must meet certain criteria to be considered eligible for DPIIT Recognition. Check Eligibility,N/A,N/A
Incubator Schemes,https://www.startupindia.gov.in/content/sih/en/incubator-schemes.html,Startup India,Central Government Scheme,"Incubator Schemes under Startup India support early-stage startups by providing funding, mentorship, infrastructure, and networking opportunities through accredited incubators across India.",N/A,N/A,N/A
Contact Us,https://www.startupindia.gov.in/content/sih/en/startupgov/validate-startup-recognition.html,Startup India,Central Government Scheme,Follow entrepreneurs and thought leaders as they explore topics relevant to you,N/A,N/A,N/A
National Startup Day 2026,https://www.startupindia.gov.in/national-startup-day-2026/,Startup India,Central Government Scheme,"National Startup Day 2026 celebrates Indiaâs thriving startup ecosystem, reflecting on its transformative journey and recognizing entrepreneurs driving innovation, solving critical challenges, and creating global impact.",N/A,N/A,N/A
Credit GUARANTEE SCHEME FOR STARTUPS,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,Startup India,Central Government Scheme,Our Toll Free Number :1800 115 565(10:00 AM to 05:30 PM) The Credit Guarantee Scheme for Startups (CGSS) is aimed at providing credit guarantee up to a specified limit against loans extended by Member Institutions (MIs) to finance eligible borrowers viz. Startups as defined in the Gazette Notification issued by the Department for Promotion of Industry and Internal Trade (DPIIT) and amended from time to time.,N/A,N/A,N/A
DPIIT Recognition,https://www.startupindia.gov.in/content/sih/en/startup-scheme.html,Startup India,Central Government Scheme,"Know about benefits, process and eligibility criteria for applying to DPIIT Startup Recognition. With DPIIT recognition access a host of tax benefits, easier compliance, IPR fast-tracking & more.",N/A,N/A,N/A
Contact Us,https://www.startupindia.gov.in/content/sih/en/reources/startup_india_notes.html,Startup India,Central Government Scheme,Simplifying India's Startup Ecosystem: Insights & Impact through Startup India Blogs. Get into the depth of what we do and expand your knowledge bank.,N/A,N/A,N/A
About AIM,https://aim.gov.in/,Atal Innovation Mission (AIM),Incubation & Innovation Grant,Hon'ble Prime Minister at the India–France Innovation Forum in Mumbai outlining India’s decade-long India's Innovation ecosystem Unveiling the 10-year logo as AIM marks a decade of innovation journey towards Viksit Bharat,N/A,N/A,N/A
Atal New India Challenge,https://aim.gov.in/atal-new-india-challenge.php,Atal Innovation Mission (AIM),Incubation & Innovation Grant,Atal New India Challenge is an initiative by Atal Innovation Mission aimed at supporting innovators to create products/solutions based on advanced technologies in areas of national importance and social relevance through a grant-based mechanism.,N/A,N/A,N/A
